"ITEMTYPE","ITEMID","COLOR","MAXPRICE","MINQTY","CONDITION","NOTIFY"
"P","2432","2","-1.0000","1","X","N"
"P","2654","85","-1.0000","1","X","N"
"P","3009","85","-1.0000","1","X","N"
"P","3021","2","-1.0000","1","X","N"
"P","32000","5","-1.0000","1","X","N"
"P","32062","5","-1.0000","1","X","N"
"P","3795","86","-1.0000","1","X","N"
"P","4274","86","-1.0000","1","X","N"
"P","30162","85","-1.0000","1","X","N"
"P","30304","85","-1.0000","1","X","N"
"P","30375","85","-1.0000","1","X","N"
"P","6081","86","-1.0000","1","X","N"
"P","6180","86","-1.0000","1","X","N"
"P","6536","85","-1.0000","1","X","N"
"P","6942","85","-1.0000","1","X","N"
"P","32316","7","-1.0000","1","X","N"
"P","40344","11","-1.0000","1","X","N"
"P","41678","86","-1.0000","1","X","N"
"P","43722","11","-1.0000","1","X","N"
"P","43723","11","-1.0000","1","X","N"
"P","48336","85","-1.0000","1","X","N"
"P","52501","85","-1.0000","1","X","N"
"P","62462","95","-1.0000","1","X","N"
"P","87994","11","-1.0000","1","X","N"
"P","95199","85","-1.0000","1","X","N"
"P","93604","86","-1.0000","1","X","N"
"P","96874","4","-1.0000","1","X","N"
"P","93095","11","-1.0000","1","X","N"
"P","44375b","86","-1.0000","1","X","N"
"P","99780","3","-1.0000","1","X","N"
"P","2357","11","-1.0000","2","X","N"
"P","2445","86","-1.0000","2","X","N"
"P","2736","86","-1.0000","2","X","N"
"P","2877","86","-1.0000","2","X","N"
"P","3022","5","-1.0000","2","X","N"
"P","3022","85","-1.0000","2","X","N"
"P","3031","2","-1.0000","2","X","N"
"P","3032","11","-1.0000","2","X","N"
"P","3034","86","-1.0000","2","X","N"
"P","30355","11","-1.0000","2","X","N"
"P","30356","11","-1.0000","2","X","N"
"P","32013","3","-1.0000","2","X","N"
"P","32028","86","-1.0000","2","X","N"
"P","32054","5","-1.0000","2","X","N"
"P","32063","86","-1.0000","2","X","N"
"P","32140","11","-1.0000","2","X","N"
"P","3701","7","-1.0000","2","X","N"
"P","3749","2","-1.0000","2","X","N"
"P","3795","6","-1.0000","2","X","N"
"P","3832","11","-1.0000","2","X","N"
"P","3832","85","-1.0000","2","X","N"
"P","4032","11","-1.0000","2","X","N"
"P","4073","7","-1.0000","2","X","N"
"P","4162","86","-1.0000","2","X","N"
"P","4477","11","-1.0000","2","X","N"
"P","30162","86","-1.0000","2","X","N"
"P","6091","86","-1.0000","2","X","N"
"P","11213","86","-1.0000","1","X","N"
"P","11295","85","-1.0000","1","X","N"
"P","19220","11","-1.0000","1","X","N"
"P","18675pb08","86","-1.0000","1","X","N"
"P","18675pb09","13","-1.0000","1","X","N"
"P","2431","11","-1.0000","4","X","N"
"P","2431","85","-1.0000","4","X","N"
"P","2450","55","-1.0000","4","X","N"
"P","3001","5","-1.0000","3","X","N"
"P","3020","4","-1.0000","3","X","N"
"P","3020","85","-1.0000","4","X","N"
"P","3024","85","-1.0000","4","X","N"
"P","3460","11","-1.0000","3","X","N"
"P","3623","11","-1.0000","4","X","N"
"P","3709b","86","-1.0000","5","X","N"
"P","6091","85","-1.0000","4","X","N"
"P","6541","3","-1.0000","4","X","N"
"P","6632","86","-1.0000","4","X","N"
"P","6636","86","-1.0000","2","X","N"
"P","6190","85","-1.0000","2","X","N"
"P","32557","86","-1.0000","4","X","N"
"P","32449","3","-1.0000","2","X","N"
"P","3070b","11","-1.0000","2","X","N"
"P","3070b","86","-1.0000","4","X","N"
"P","40490","86","-1.0000","2","X","N"
"P","2412b","11","-1.0000","2","X","N"
"P","2429c01","11","-1.0000","2","X","N"
"P","43722","86","-1.0000","3","X","N"
"P","43723","86","-1.0000","3","X","N"
"P","54200","86","-1.0000","5","X","N"
"P","50950","2","-1.0000","2","X","N"
"P","54384","11","-1.0000","5","X","N"
"P","54384","86","-1.0000","5","X","N"
"P","54383","11","-1.0000","5","X","N"
"P","54383","86","-1.0000","5","X","N"
"P","58247","11","-1.0000","2","X","N"
"P","58176","98","-1.0000","2","X","N"
"P","60478","85","-1.0000","2","X","N"
"P","61409","86","-1.0000","4","X","N"
"P","60483","86","-1.0000","2","X","N"
"P","60479","86","-1.0000","4","X","N"
"P","60219","86","-1.0000","2","X","N"
"P","64644","11","-1.0000","2","X","N"
"P","85984","11","-1.0000","2","X","N"
