BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
10247	6045988	10247	Plate, Modified 2 x 2 with Pin Hole - Full Cross Support Underneath	86	71	Light Bluish Gray	Solid Colors	2	0.74
11211	6019155	11211	Brick, Modified 1 x 2 with Studs on 1 Side	5	4	Red	Solid Colors	2	0.86
11213	6015349	11213	Plate, Round 6 x 6 with Hole	86	71	Light Bluish Gray	Solid Colors	1	3.47
11295	6031896	11295	Aircraft Fuselage Curved Forward 6 x 8 Bottom	85	72	Dark Bluish Gray	Solid Colors	1	7.15
11476	6028812	11476	Plate, Modified 1 x 2 with Clip Horizontal on Side	86	71	Light Bluish Gray	Solid Colors	2	0.46
11477	6028813	11477	Slope, Curved 2 x 1 No Studs	86	71	Light Bluish Gray	Solid Colors	2	0.31
15068	6071261	15068	Slope, Curved 2 x 2 No Studs	85	72	Dark Bluish Gray	Solid Colors	2	0.57
15303	6054526	15303	Bar   8L with Round End (Spring Shooter Dart)	17	36	Trans-Red	Transparent Colors	3	0.65
15301c01	6048898	15301c01	Spring Shooter with Light Bluish Gray Top - Complete Assembly	85	72	Dark Bluish Gray	Solid Colors	2	1.9
15573	6092572	15573	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)	85	72	Dark Bluish Gray	Solid Colors	2	0.3
15573	6092585	15573	Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)	11	0	Black	Solid Colors	4	0.3
18651	6089119	18651	Technic, Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle	11	0	Black	Solid Colors	2	0.32
18654	6100030	18654	Technic, Pin Connector Round 1L	85	72	Dark Bluish Gray	Solid Colors	3	0.17
18675pb09	6163697	18675pb09	Dish 6 x 6 Inverted - No Studs with Handle with SW 8 Spoke Dark Bluish Gray Frame and Rivets TIE Cockpit Pattern	13	40	Trans-Black	Transparent Colors	1	4.0
19220	6170545	19220	Minifig, Utensil Radio with Detailed Grille	11	0	Black	Solid Colors	1	0.53
2357	235726	2357	Brick 2 x 2 Corner	11	0	Black	Solid Colors	2	1.25
23948	6130012	23948	Technic, Axle 11	3	14	Yellow	Solid Colors	2	1.65
2412b	241226	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	11	0	Black	Solid Colors	2	0.23
2420	4210635	2420	Plate 2 x 2 Corner	85	72	Dark Bluish Gray	Solid Colors	12	0.54
2429c01	6102782	2429c01	Hinge Plate 1 x 4 Swivel Top / Base Complete Assembly	11	0	Black	Solid Colors	2	0.8
24309	6132207	24309	Slope, Curved 3 x 2 No Studs	86	71	Light Bluish Gray	Solid Colors	14	1.21
2431	4211053	2431	Tile 1 x 4	85	72	Dark Bluish Gray	Solid Colors	4	0.54
2431	243126	2431	Tile 1 x 4	11	0	Black	Solid Colors	4	0.54
2432	6021208	2432	Tile, Modified 1 x 2 with Handle	2	19	Tan	Solid Colors	1	0.58
2436b	6168615	2436b	Bracket 1 x 2 - 1 x 4 with Rounded Corners	86	71	Light Bluish Gray	Solid Colors	2	0.93
2445	4211360	2445	Plate 2 x 12	86	71	Light Bluish Gray	Solid Colors	2	3.5
2450	6051596	2450	Wedge, Plate 3 x 3 Cut Corner	55	379	Sand Blue	Solid Colors	4	1.08
2654	4613980	2654	Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)	85	72	Dark Bluish Gray	Solid Colors	1	0.45
2736	4211375	2736	Technic, Axle Towball	86	71	Light Bluish Gray	Solid Colors	2	0.27
2780	4121715	2780	Technic, Pin with Friction Ridges Lengthwise WITH Center Slots	11	0	Black	Solid Colors	17	0.16
2877	4211383	2877	Brick, Modified 1 x 2 with Grille (Grill)	86	71	Light Bluish Gray	Solid Colors	2	0.68
3001	300121	3001	Brick 2 x 4	5	4	Red	Solid Colors	3	2.32
3005	4620077	3005	Brick 1 x 1	55	379	Sand Blue	Solid Colors	8	0.44
3009	4211100	3009	Brick 1 x 6	85	72	Dark Bluish Gray	Solid Colors	1	2.42
30162	4550170	30162	Minifig, Utensil Binoculars Town	86	71	Light Bluish Gray	Solid Colors	2	0.19
30162	4587887	30162	Minifig, Utensil Binoculars Town	85	72	Dark Bluish Gray	Solid Colors	1	0.19
3020	4211065	3020	Plate 2 x 4	85	72	Dark Bluish Gray	Solid Colors	4	1.2
3020	4158355	3020	Plate 2 x 4	4	25	Orange	Solid Colors	3	1.2
3021	4118790	3021	Plate 2 x 3	2	19	Tan	Solid Colors	1	0.93
