Part,Color,Quantity
11090,72,2
11203,72,3
11458,71,4
11477,71,0
13548,71,2
15068,71,2
18675pb06,71,1
22385,71,3
2412b,71,2
2412b,72,12
2419,71,1
24201,71,2
24246,71,2
24309,71,0
2431,71,2
2431,0,4
2445,71,4
2450,379,4
2450,72,4
2456,14,1
2555,71,2
2555,72,16
2653,71,1
27263,71,8
2780,0,11
28192,71,4
28192,72,4
3005,71,2
3007,0,1
3008,71,2
3009,71,2
3009,14,1
3020,71,7
3020,14,1
3020,1,2
3021,71,0
3022,0,1
3022,4,0
3022,71,1
3023,0,1
3023,36,3
3023,14,0
3023,71,4
3023,43,2
3024,36,10
3029,71,1
3032,71,6
3032,0,4
3033,71,2
3033,0,1
3034,14,2
3034,1,4
3035,71,2
3035,0,1
30350a,72,1
30355,0,0
30356,0,0
3036,71,2
3036,72,1
3037,71,1
3040,71,2
30503,71,4
3068a,0,6
3069b,0,8
3069b,71,5
3069b,379,0
3069b,36,8
3070b,71,2
3070b,36,6
32028,71,0
32140,72,4
32184,14,2
32209,72,1
40345,0,1
32803,71,14
3297,71,4
3460,0,0
3460,72,7
35464,71,4
35787,0,8
3622,71,6
3623,0,0
3623,71,0
3660,71,12
3665,71,2
3666,71,0
3666,0,3
3666,14,3
3666,72,2
3701,0,2
3702,71,2
3702,0,10
3706,0,2
3710,0,1
3710,72,0
3710,14,6
3794b,0,14
3795,72,1
3795,2,6
3795,0,2
3795,14,4
3832,72,0
3832,0,4
3894,14,2
3895,0,4
3895,71,4
3958,72,1
3958,71,1
4070,72,4
41539,71,2
4162,71,4
4162,72,2
41764,71,2
41765,71,2
41769,0,1
41770,0,1
42023,71,10
4274,1,22
4282,0,0
4282,71,0
4287,71,6
43045,71,6
43045,0,1
43093,1,2
43722,71,0
43723,71,0
4445,71,2
4477,0,2
4477,71,4
47397,71,4
47398,71,4
48336,71,5
50955,71,1
50956,71,1
51739,71,2
52031,71,1
52107,14,4
54200,71,0
54383,71,3
54383,0,4
54384,71,3
54384,0,4
60470b,71,3
60478,71,2
60479,71,4
6111,71,2
6112,71,4
61409,71,0
61409,72,10
4073,72,12
4073,14,2
4073,71,10
6179,0,4
6180,71,1
63864,71,0
63868,71,2
6541,14,0
6558,1,5
6636,71,5
6636,72,4
85984,71,10
87079,0,12
87079,71,5
87620,71,0
87994,72,2
88646,0,4
88646,71,1
92280,71,2
92584,0,0
92593,71,2
93606,71,3
99563,71,1
98138,36,2
98285,71,4
98286,71,0
98286,0,1
99780,72,3
